# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
4347|64.86|135.5434|-65.1476|5815|AGC410080
4363|74.13|134.6359|-62.6753|5267|NGC0426
4365|72.44|255.2980|-83.8054|5584|AGC020903
4367|11.32|134.2168|-61.4184|1155|UGC00763
4370|133.66|130.5662|-47.0608|13161|PGC004370
4376|74.13|134.7220|-62.6297|5272|NGC0430
4382|157.04|270.1494|-81.6836|10278|ESO352-021
4387|84.33|127.9680|-27.6927|4739|UGC00764
4392|134.90|130.6563|-47.0277|14086|PGC004392
4398|158.49|130.6587|-46.7591|11554|AGC110138
4417|54.45|128.2773|-29.4224|5533|IC1648
4420|176.20|134.9112|-62.0456|13295|+00-04-045
4432|61.66|298.4363|-54.5308|5016|ESO080-001
